method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
rand_03a1816e,10,50.8,5,10.16,0,0.019685
rand_527f6b6d,10,45.2,5,9.04,0,0.022124
rand_ccaf726f,10,49.2,5,9.84,0,0.020325
rand_eb588882,10,51.3,5,10.26,0,0.019493
rand_a5bd92ce,10,49.4,5,9.88,0,0.020243
rand_98f7d8c3,10,47.2,5,9.44,0,0.021186
rand_28eaa6c2,10,49.1,5,9.82,0,0.020367
rand_7958211a,10,49.3,5,9.86,0,0.020284
rand_25dc118a,10,46.4,5,9.28,0,0.021552
rand_9f655f28,10,48.5,5,9.7,0,0.020619
rand_17d46baf,10,48.0,5,9.6,0,0.020833
rand_8ce698ed,10,48.9,5,9.78,0,0.02045
rand_b0f00f73,10,47.7,5,9.54,0,0.020964
rand_b9f322c8,10,48.3,5,9.66,0,0.020704
rand_d7d44225,10,47.6,5,9.52,0,0.021008
rand_3f766290,10,50.7,5,10.14,0,0.019724
rand_dbbddfc8,10,47.7,5,9.54,0,0.020964
rand_6d0f8a31,10,50.6,5,10.12,0,0.019763
rand_10e6fda2,10,50.0,5,10.0,0,0.02
rand_0b32fddc,10,47.7,5,9.54,0,0.020964
rand_6dd92d29,10,46.2,5,9.24,0,0.021645
rand_8eda3569,10,50.0,5,10.0,0,0.02
rand_381b22d6,10,49.1,5,9.82,0,0.020367
rand_ca2c0804,10,48.7,5,9.74,0,0.020534
rand_50e92e16,10,48.9,5,9.78,0,0.02045
rand_2a0fca2b,10,50.7,5,10.14,0,0.019724
rand_bf19bf64,10,47.0,5,9.4,0,0.021277
rand_f9fd538e,10,49.2,5,9.84,0,0.020325
rand_01f8e552,10,49.2,5,9.84,0,0.020325
rand_f49c2710,10,50.6,5,10.12,0,0.019763
rand_d13c03ad,10,50.4,5,10.08,0,0.019841
rand_c09e9f00,10,51.0,5,10.2,0,0.019608
rand_bf28d16f,10,46.7,5,9.34,0,0.021413
rand_dfb5dba2,10,47.5,5,9.5,0,0.021053
rand_665c00c1,10,43.5,5,8.7,0,0.022989
CFOP,600,51.69,7,7.38,0,0.019346
rand_a85c7d78,10,47.9,5,9.58,0,0.020877
rand_14e10fe5,10,47.8,5,9.56,0,0.020921
rand_db9af0ed,10,46.2,5,9.24,0,0.021645
rand_ed32d044,10,46.9,5,9.38,0,0.021322
rand_3b3b0654,10,47.0,5,9.4,0,0.021277
rand_1b5211c3,10,49.2,5,9.84,0,0.020325
rand_49710a93,10,48.8,5,9.76,0,0.020492
rand_c4bb1f0f,10,50.9,5,10.18,0,0.019646
rand_7f023d6e,10,48.7,5,9.74,0,0.020534
rand_a1c1f7dc,10,50.0,5,10.0,0,0.02
rand_348d9510,10,47.8,5,9.56,0,0.020921
rand_6af821b1,10,47.3,5,9.46,0,0.021142
rand_02a6a185,10,50.3,5,10.06,0,0.019881
rand_3590d7f7,10,50.1,5,10.02,0,0.01996
rand_9adce40f,10,49.4,5,9.88,0,0.020243
rand_783a7815,10,49.5,5,9.9,0,0.020202
rand_65a819a4,10,48.9,5,9.78,0,0.02045
rand_6720ec13,10,47.9,5,9.58,0,0.020877
rand_da6c05bd,10,51.7,5,10.34,0,0.019342
rand_46e3dd5d,10,48.9,5,9.78,0,0.02045
rand_9961406e,10,50.9,5,10.18,0,0.019646
rand_2974e3eb,10,48.5,5,9.7,0,0.020619
rand_73b09b84,10,49.9,5,9.98,0,0.02004
rand_eafb9e2c,10,49.5,5,9.9,0,0.020202
rand_15c12ad9,10,46.8,5,9.36,0,0.021368
rand_f0494020,10,46.9,5,9.38,0,0.021322
rand_2463726e,10,45.6,5,9.12,0,0.02193
rand_51484da3,10,46.5,5,9.3,0,0.021505
rand_7e4224ef,10,50.1,5,10.02,0,0.01996
rand_fad31b8f,10,51.6,5,10.32,0,0.01938
rand_903bb63c,10,50.6,5,10.12,0,0.019763
rand_e85fcf16,10,48.1,5,9.62,0,0.02079
rand_70e52098,10,48.6,5,9.72,0,0.020576
rand_d2220d6c,10,46.6,5,9.32,0,0.021459
rand_17b20ed2,10,48.4,5,9.68,0,0.020661
rand_67f3ce09,10,47.6,5,9.52,0,0.021008
rand_0206fc4f,10,47.3,5,9.46,0,0.021142
rand_d73beb24,10,46.7,5,9.34,0,0.021413
rand_214b9e51,10,50.7,5,10.14,0,0.019724
rand_3ab35d07,10,49.8,5,9.96,0,0.02008
rand_17fda701,10,49.2,5,9.84,0,0.020325
rand_1c25da57,10,49.8,5,9.96,0,0.02008
rand_7b488481,10,49.1,5,9.82,0,0.020367
rand_d34f2a51,10,44.8,5,8.96,0,0.022321
rand_f5b7f666,10,46.2,5,9.24,0,0.021645
rand_15668d95,10,45.5,5,9.1,0,0.021978
rand_efa9bcf5,10,49.0,5,9.8,0,0.020408
rand_59a07092,10,49.4,5,9.88,0,0.020243
rand_1132c6f7,10,49.0,5,9.8,0,0.020408
rand_e3e17cea,10,47.5,5,9.5,0,0.021053
rand_aae65f67,10,49.5,5,9.9,0,0.020202
rand_e5ea21d1,10,50.6,5,10.12,0,0.019763
rand_773cdcbf,10,48.3,5,9.66,0,0.020704
rand_e469e8e1,10,49.4,5,9.88,0,0.020243
rand_ba9a1fc2,10,51.1,5,10.22,0,0.019569
rand_7b84147b,10,49.8,5,9.96,0,0.02008
rand_acf49d77,10,49.6,5,9.92,0,0.020161
rand_e1d20493,10,46.9,5,9.38,0,0.021322
rand_dfe5372c,10,47.6,5,9.52,0,0.021008
rand_1fe8052c,10,52.2,5,10.44,0,0.019157
rand_2d5f5933,10,50.5,5,10.1,0,0.019802
rand_fdc710eb,10,49.0,5,9.8,0,0.020408
rand_cb21f8b6,10,48.9,5,9.78,0,0.02045
rand_eacfecbb,10,48.0,5,9.6,0,0.020833
rand_4df350ec,10,45.4,5,9.08,0,0.022026
rand_632d2ba3,10,47.4,5,9.48,0,0.021097
rand_67f9387e,10,47.3,5,9.46,0,0.021142
rand_ff310225,10,48.5,5,9.7,0,0.020619
rand_122c8c8b,10,52.9,5,10.58,0,0.018904
rand_80d3165a,10,50.4,5,10.08,0,0.019841
rand_4e3df5b2,10,48.4,5,9.68,0,0.020661
rand_ad651d8d,10,44.5,5,8.9,0,0.022472
rand_141675ab,10,46.6,5,9.32,0,0.021459
rand_23421c8a,10,52.1,5,10.42,0,0.019194
rand_d8af0249,10,48.4,5,9.68,0,0.020661
rand_26374d3c,10,48.2,5,9.64,0,0.020747
rand_5c8e147c,10,49.5,5,9.9,0,0.020202
rand_dd204892,10,48.7,5,9.74,0,0.020534
rand_1212c82f,10,48.0,5,9.6,0,0.020833
rand_2b4f0d79,10,46.9,5,9.38,0,0.021322
rand_d5cb6d43,10,47.3,5,9.46,0,0.021142
rand_9fb8e3dc,10,46.6,5,9.32,0,0.021459
rand_293a6514,10,50.7,5,10.14,0,0.019724
rand_4761a238,10,51.7,5,10.34,0,0.019342
rand_d851af78,10,49.9,5,9.98,0,0.02004
rand_8acda991,10,47.0,5,9.4,0,0.021277
rand_c84ab83a,10,47.6,5,9.52,0,0.021008
rand_23556c83,10,48.4,5,9.68,0,0.020661
rand_811287a2,10,45.3,5,9.06,0,0.022075
rand_1075c1b4,10,49.2,5,9.84,0,0.020325
rand_df11fe3e,10,46.9,5,9.38,0,0.021322
rand_868367d5,10,50.7,5,10.14,0,0.019724
rand_456ff931,10,51.5,5,10.3,0,0.019417
rand_e3fca6ef,10,51.1,5,10.22,0,0.019569
rand_60d8e052,10,45.5,5,9.1,0,0.021978
rand_d3b8a654,10,48.5,5,9.7,0,0.020619
rand_b1c0b0ec,10,51.6,5,10.32,0,0.01938
rand_642f76a7,10,46.8,5,9.36,0,0.021368
rand_3e4e4723,10,49.2,5,9.84,0,0.020325
rand_03fe171c,10,52.1,5,10.42,0,0.019194
rand_c16bea96,10,46.7,5,9.34,0,0.021413
rand_6d479e40,10,50.0,5,10.0,0,0.02
rand_d2a3d2f5,10,50.3,5,10.06,0,0.019881
rand_53decdea,10,51.9,5,10.38,0,0.019268
rand_1688e918,10,50.8,5,10.16,0,0.019685
rand_b1c3eef5,10,43.5,5,8.7,0,0.022989
rand_154cb666,10,49.9,5,9.98,0,0.02004
rand_0db777d1,10,51.1,5,10.22,0,0.019569
rand_a4f3b7ee,10,47.6,5,9.52,0,0.021008
rand_46500a94,10,47.1,5,9.42,0,0.021231
rand_c1ac8675,10,50.3,5,10.06,0,0.019881
rand_55ccc092,10,50.9,5,10.18,0,0.019646
rand_cba9be94,10,47.3,5,9.46,0,0.021142
rand_4ba5309c,10,49.0,5,9.8,0,0.020408
rand_796b763a,10,47.9,5,9.58,0,0.020877
rand_ed423192,10,48.7,5,9.74,0,0.020534
rand_72a49bfa,10,47.6,5,9.52,0,0.021008
rand_c6954ea0,10,48.1,5,9.62,0,0.02079
rand_25a7298d,10,50.2,5,10.04,0,0.01992
rand_bcf39ff8,10,49.5,5,9.9,0,0.020202
rand_29ff36fe,10,52.1,5,10.42,0,0.019194
rand_8cc46d82,10,50.3,5,10.06,0,0.019881
rand_15177839,10,52.4,5,10.48,0,0.019084
rand_bc94868c,10,48.0,5,9.6,0,0.020833
rand_552e7d13,10,47.9,5,9.58,0,0.020877
rand_6f7769a5,10,52.0,5,10.4,0,0.019231
rand_64d55a3f,10,48.4,5,9.68,0,0.020661
rand_8130d717,10,47.4,5,9.48,0,0.021097
rand_e0da22da,10,51.0,5,10.2,0,0.019608
rand_7d5bc341,10,47.9,5,9.58,0,0.020877
rand_9d6d523d,10,46.7,5,9.34,0,0.021413
rand_7767b92d,10,47.6,5,9.52,0,0.021008
rand_1efa68e6,10,45.6,5,9.12,0,0.02193
rand_ce538a47,10,50.1,5,10.02,0,0.01996
rand_2624c0d3,10,51.5,5,10.3,0,0.019417
rand_c07c1651,10,47.4,5,9.48,0,0.021097
rand_d517b910,10,46.8,5,9.36,0,0.021368
rand_d86e54de,10,49.4,5,9.88,0,0.020243
rand_8bf86eda,10,51.1,5,10.22,0,0.019569
rand_b585432f,10,48.7,5,9.74,0,0.020534
rand_2173a558,10,48.6,5,9.72,0,0.020576
rand_946aa173,10,48.3,5,9.66,0,0.020704
rand_d90ccce4,10,49.1,5,9.82,0,0.020367
rand_98f5a2ee,10,46.6,5,9.32,0,0.021459
rand_474993d9,10,48.7,5,9.74,0,0.020534
rand_d88d43b8,10,47.9,5,9.58,0,0.020877
rand_086e7624,10,46.5,5,9.3,0,0.021505
rand_19f81829,10,48.1,5,9.62,0,0.02079
rand_06e0f53e,10,48.0,5,9.6,0,0.020833
rand_4e456861,10,50.1,5,10.02,0,0.01996
rand_f9d1c046,10,48.6,5,9.72,0,0.020576
rand_b2d151fa,10,51.4,5,10.28,0,0.019455
PETRUS,250,50.94,7,7.28,25,0.019631
rand_c217817d,10,48.2,5,9.64,0,0.020747
rand_1d57c7df,10,48.8,5,9.76,0,0.020492
rand_a43c144d,10,48.3,5,9.66,0,0.020704
rand_5420ad98,10,52.4,5,10.48,0,0.019084
rand_14e03b1f,10,49.6,5,9.92,0,0.020161
rand_e0f9813a,10,46.4,5,9.28,0,0.021552
rand_d35af265,10,52.4,5,10.48,0,0.019084
rand_9ad379b5,10,47.2,5,9.44,0,0.021186
rand_93bc8b33,10,50.2,5,10.04,0,0.01992
rand_392670b5,10,49.1,5,9.82,0,0.020367
rand_22b1e7ad,10,45.5,5,9.1,0,0.021978
rand_1753a403,10,46.8,5,9.36,0,0.021368
rand_a14a67d2,10,48.5,5,9.7,0,0.020619
rand_3c88abdd,10,48.9,5,9.78,0,0.02045
rand_a5c15425,10,50.6,5,10.12,0,0.019763
rand_0c65ca38,10,49.8,5,9.96,0,0.02008
rand_49a9f002,10,47.5,5,9.5,0,0.021053
rand_cf5d3be7,10,46.2,5,9.24,0,0.021645
rand_b4659b18,10,49.6,5,9.92,0,0.020161
rand_1a703d73,10,50.2,5,10.04,0,0.01992
rand_632581e0,10,44.6,5,8.92,0,0.022422
rand_2c5c8a20,10,49.2,5,9.84,0,0.020325
rand_0dd75677,10,53.1,5,10.62,0,0.018832
rand_aae7769d,10,47.9,5,9.58,0,0.020877
rand_23f2783b,10,48.3,5,9.66,0,0.020704
rand_b6fba948,10,47.3,5,9.46,0,0.021142
rand_5ba15b1b,10,48.4,5,9.68,0,0.020661
rand_e7fed7bc,10,47.2,5,9.44,0,0.021186
rand_3abb47e6,10,49.1,5,9.82,0,0.020367
rand_d67b11b8,10,51.4,5,10.28,0,0.019455
rand_b0f0440d,10,47.6,5,9.52,0,0.021008
